"字詞名","輕鬆輸入法編碼","分析可能的輕鬆輸入法編碼","查無對映的輕鬆輸入法編碼"
"市場","y1gn","",""
"市場調查","yg4d","",""
"市場區隔","yg[9","",""
"市場占有率","ygyj","",""
"市容","y17r","",""
"柿","d1","",""
"柿子","d1.b","",""
"示","my","",""
"示範","myh'","",""
"示範社區","mhy[","",""
"示好","myvb","",""
"示警","myt4","",""
"示眾","my,.","",""
"示眾","my,o","",""
"示眾","myw.","",""
"示眾","mywb","",""
"示眾","mywo","",""
"示弱","mynn","",""
"示愛","my,x","",""
"示意","myyp","",""
"示威","my`i","",""
"視","y-","",""
"視聽","y-9p","",""
"視聽教育","y9gj","",""
"視聽教育","y9gy","",""
"視聽教育","y9xj","",""
"視聽教育","y9xy","",""
"視同兒戲","yb,y","",""
"視同兒戲","yb,`","",""
"視力","y-jn","",""
"視力","y-mn","",""
"視力","y-n,","",""
"視界","y-w1","",""
"視覺","y-,-","",""
"視線","y-3e","",""
"視訊","y-4'","",""
"視察","y-7y","",""
"視事","y-jb","",""
"視如己出","yv]u","",""
"視如敝屣","yvts","",""
"視若無睹","yt,w","",""
"視若無物","yt,,","",""
"視死如歸","ymv,","",""
"視死如歸","ymvs","",""
"視而不見","ymmw","",""
"視野","y-wb","",""
"視為畏途","y,wz","",""
"視為畏途","yywz","",""
"世","'t","",""
"世","m'","",""
"世","t'","",""
"世面","'tmw","",""
"世面","m'mw","",""
"世面","t'mw","",""
"世風日下","',am","",""
"世風日下","'-am","",""
"世風日下","m,am","",""
"世風日下","m-am","",""
"世風日下","t,am","",""
"世風日下","t-am","",""
"世代","'toi","",""
"世代","m'oi","",""
"世代","t'oi","",""
"世代交替","'oyg","",""
"世代交替","'oyj","",""
"世代交替","moyg","",""
"世代交替","moyj","",""
"世代交替","toyg","",""
"世代交替","toyj","",""
"世道","m'zw","",""
"世態","'t/p","",""
"世態","m'/p","",""
"世態","t'/p","",""
"世態炎涼","'/fe","",""
"世態炎涼","m/fe","",""
"世態炎涼","t/fe","",""
"世故","'tjx","",""
"世故","m'jx","",""
"世故","t'jx","",""
"世紀","'t3'","",""
"世紀","m'3'","",""
"世紀","t'3'","",""
"世家","'t7.","",""
"世家","m'7.","",""
"世家","t'7.","",""
"世界","'tw1","",""
"世界","m'w1","",""
"世界","t'w1","",""
"世界貿易組織","'w,a","",""
"世界貿易組織","mw,a","",""
"世界貿易組織","tw,a","",""
"世界大同","'wkb","",""
"世界大同","mwkb","",""
"世界大同","twkb","",""
"世界大戰","'wkr","",""
"世界大戰","mwkr","",""
"世界大戰","twkr","",""
"世界觀","'wt","",""
"世界觀","mwt","",""
"世界觀","twt","",""
"世界級","'w3","",""
"世界級","mw3","",""
"世界級","tw3","",""
"世界性","'wp","",""
"世界性","mwp","",""
"世界性","twp","",""
"世界展望會","'wsy","",""
"世界展望會","mwsy","",""
"世界展望會","twsy","",""
"世交","'tyx","",""
"世交","m'yx","",""
"世交","t'yx","",""
"世間","'taa","",""
"世間","m'aa","",""
"世間","t'aa","",""
"世居","'tsr","",""
"世居","m'sr","",""
"世居","t'sr","",""
"世局","'tsn","",""
"世局","m'sn","",""
"世局","t'sn","",""
"世襲","'ty[","",""
"世襲","m'y[","",""
"世襲","t'y[","",""
"世系","'t,3","",""
"世系","m',3","",""
"世系","t',3","",""
"世兄","'tr-","",""
"世兄","m'r-","",""
"世兄","t'r-","",""
"世侄","m'og","",""
"世仇","'to'","",""
"世仇","m'o'","",""
"世仇","t'o'","",""
"世世代代","''oo","",""
"世世代代","mmoo","",""
"世世代代","ttoo","",""
"世事","'tjb","",""
"世事","'tmb","",""
"世事","m'jb","",""
"世事","m'mb","",""
"世事","t'jb","",""
"世事","t'mb","",""
"世事難料","'jtt","",""
"世事難料","'mtt","",""
"世事難料","mjtt","",""
"世事難料","mmtt","",""
"世事難料","tjtt","",""
"世事難料","tmtt","",""
"世上","'tym","",""
"世上","m'ym","",""
"世上","t'ym","",""
"世人","'to","",""
"世人","m'o","",""
"世人","t'o","",""
"世俗","'tor","",""
"世俗","m'or","",""
"世俗","t'or","",""
"世外桃源","',de","",""
"世外桃源","m,de","",""
"世外桃源","t,de","",""
"世運","'tz2","",""
"世運","m'z2","",""
"世運","t'z2","",""
"式","im","",""
"式","mi","",""
"式子","im.b","",""
"式子","mi.b","",""
"式樣","imde","",""
"式樣","mide","",""
"式微","im,x","",""
"式微","mi,x","",""
"拭","qi","",""
"拭目以待","qa1,","",""
"拭目以待","qw1,","",""
"拭淚","qiek","",""
"試","4i","",""
"試播","4iqw","",""
"試辦","4iyj","",""
"試探","4iqd","",""
"試題","4ia5","",""
"試圖","4iww","",""
"試管","4ihr","",""
"試管","4ih]","",""
"試航","4i,-","",""
"試婚","4iva","",""
"試金石","4cm","",""
"試卷","4it'","",""
"試紙","4i3i","",""
"試車","4i2","",""
"試場","4ign","",""
"試穿","4i7b","",""
"試試","4i4i","",""
"試晬","4iax","",""
"試驗","4imo","",""
"試問","4iar","",""
"試用","4ib1","",""
"試用","4ibj","",""
"軾","2i","",""
"弒","xi","",""
"事","jb","",""
"事","mb","",""
"事倍功半","jomt","",""
"事倍功半","momt","",""
"事半功倍","jtmo","",""
"事半功倍","mtmo","",""
"事必躬親","jp,y","",""
"事必躬親","mp,y","",""
"事變","jb3x","",""
"事變","mb3x","",""
"事不宜遲","jm7z","",""
"事不宜遲","mm7z","",""
"事端","jbyb","",""
"事態","jb/p","",""
"事態","mb/p","",""
"事理","jbmg","",""
"事例","jbob","",""
"事例","mbob","",""
"事略","jbwr","",""
"事故","jbjx","",""
"事故","mbjx","",""
"事過境遷","jzgz","",""
"事過境遷","mzgz","",""
"事功","jbmn","",""
"事後","jb,x","",""
"事後","mb,x","",""
"事機","jbdi","",""
"事蹟","jbr5","",""
"事蹟","mbr5","",""
"事件","jboj","",""
"事件","mboj","",""
"事前","jbtb","",""
"事前","mbtb","",""
"事情","jbpb","",""
"事情","mbpb","",""
"事權","jbd0","",""
"事先","jb,-","",""
"事先","mb,-","",""
"事項","jbm5","",""
"事項","mbm5","",""
"事主","jbyg","",""
"事出有因","jujw","",""
"事出有因","mujw","",""
"事實","jb75","",""
"事實","mb75","",""
"事事","jbjb","",""
"事在人為","jjo,","",""
"事在人為","jjoy","",""
"事在人為","mjo,","",""
"事在人為","mjoy","",""
"事宜","jb7m","",""
"事宜","mb7m","",""
"事業","jbtd","",""
"事業","mbtd","",""
"事由","jb1a","",""
"事由","jb1w","",""
"事由","jbw1","",""
"事物","jb,n","",""
"事物","mb,n","",""
"事務","jb.n","",""
"事務","mb.n","",""
"事務官","j.7","",""
"事務所","j.s","",""
"事務所","m.s","",""
"事與願違","j,`z","",""
"事與願違","m,`z","",""
"侍","o;","",""
"侍奉","o;jj","",""
"侍女","o;v","",""
"侍郎","o;y9","",""
"侍候","o;ok","",""
"侍妾","o;yv","",""
"侍者","o;ga","",""
"侍從","o;,o","",""
"侍應生","o`,","",""
"侍衛","o;,b","",""
"恃","p;","",""
"恃強凌弱","pnyn","",""
"恃寵而驕","p7mm","",""
"恃才傲物","pjo,","",""
"恃才傲物","pmo,","",""
"室","7g","",""
"室內","7gbo","",""
"室內","7gob","",""
"室內植物","7bd,","",""
"室內植物","7od,","",""
"室內樂","7b3","",""
"室內樂","7o3","",""
"室友","7gjx","",""
"室外","7g,y","",""
"室溫","7gem","",""
"是","'","",""
"是","ao","",""
"是非","ao,m","",""
"是非","ao1m","",""
"是非不分","',m8","",""
"是非不分","'1m8","",""
"是非不分","a,m8","",""
"是非不分","a1m8","",""
"是非分明","',8a","",""
"是非分明","'18a","",""
"是非分明","a,8a","",""
"是非分明","a18a","",""
"是非曲直","a,1j","",""
"是非曲直","a,aj","",""
"是非曲直","a11j","",""
"是非曲直","a1aj","",""
"是否","aomr","",""
"是福不是禍，是禍躲不過","ayma","",""
"逝","z1","",""
"逝世","z1't","",""
"逝世","z1m'","",""
"逝世","z1t'","",""
"誓","q4","",""
"誓不兩立","qmmy","",""
"誓不甘休","qmto","",""
"誓師","q4,1","",""
"誓師","q4s1","",""
"誓詞","q44n","",""
"誓死","q4m'","",""
"誓死不屈","qmms","",""
"誓言","q44","",""
"誓約","q43n","",""
"誓願","q4`5","",""
"勢","gn","",""
"勢必","gnp,","",""
"勢不得已","gm,]","",""
"勢不兩立","gmmy","",""
"勢不可當","gmmt","",""
"勢同水火","gbef","",""
"勢力","gnjn","",""
"勢力","gnmn","",""
"勢力","gnn,","",""
"勢利","gn,b","",""
"勢利眼","g,w","",""
"勢均力敵","ggjy","",""
"勢均力敵","ggmy","",""
"勢均力敵","ggny","",""
"勢如破竹","gvmh","",""
"勢在必行","gjp,","",""
"嗜","ra","",""
"嗜好","ravb","",""
"嗜酒","raew","",""
"嗜之如命","ryvo","",""
"筮","hm","",""
"噬","rm","",""
"噬臍莫及","rbt.","",""
"噬人菌","rot","",""
"飾","o1","",""
"飾金","o1cc","",""
"飾詞","o14n","",""
"飾演","o1e8","",""
"飾物","o1,n","",""
"適","zb","",""
"適得其反","z,t,","",""
"適得其反","z,t`","",""
"適得其所","z,ts","",""
"適當","zbtw","",""
"適度","zb`x","",""
"適量","zbag","",""
"適可而止","zmm1","",""
"適合","zbor","",""
"適婚年齡","zv,1","",""
"適切","zbgn","",""
"適切","zbjn","",""
"適切","zbmn","",""
"適性","zbpg","",""
"適中","zbl","",""
"適時","zba;","",""
"適任","zbog","",""
"適才","zbjb","",""
"適才","zbmb","",""
"適材適用","zdzb","",""
"適宜","zb7m","",""
"適意","zbyp","",""
"適應","zb`p","",""
"適用","zbb1","",""
"適用","zbbj","",""
"諡","4m","",""
"諡","4mx","",""
"識","4i","",""
"識別","4irb","",""
"識破","4imx","",""
"識大體","4k7","",""
"識途老馬","4zgm","",""
"識貨","4io5","",""
"識見","4iw-","",""
"識趣","4igx","",""
"識相","4idw","",""
"識時務","4a.","",""
"釋",",j","",""
"釋放",",jyx","",""
"釋例",",job","",""
"釋懷",",jp[","",""
"釋迦",",jzr","",""
"釋出",",juu","",""
"釋然",",j,f","",""
"釋疑",",j'o","",""
"釋義",",jti","",""
"釋文",",jyx","",""
"匙","a'","",""
"沙","e,","",""
"沙盤","e,,m","",""
"沙盤推演","e,qe","",""
"沙漠","e,ek","",""
"沙發","e,.x","",""
"沙袋","e,o[","",""
"沙丁魚","em,","",""
"沙灘","e,e0","",""
"沙土","e,g","",""
"沙拉","e,qt","",""
"沙拉油","eqe","",""
"沙漏","e,e6","",""
"沙礫","e,md","",""
"沙龍","e,y'","",""
"沙鍋","e,cb","",""
"沙坑","e,g-","",""
"沙金","e,c","",""
"沙丘","e,,m","",""
"沙洲","e,e1","",""
"沙茶","e,td","",""
"沙場","e,gn","",""
"沙子","e,.b","",""
"沙鷗","e,[0","",""
"沙啞","e,rm","",""
"沙文主義","eyyt","",""
"砂","m,","",""
"砂布","m,j1","",""
"砂糖","m,tr","",""
"砂土","m,g","",""
"砂囊","m,j[","",""
"砂礫","m,md","",""
"砂輪","m,2b","",""
"砂鍋","m,cb","",""
"砂質","m,,5","",""
"砂紙","m,3i","",""
"砂石","m,mr","",""
"砂岩","m,ur","",""
"砂眼","m,w[","",""
"紗","3,","",""
"紗布","3,j1","",""
"紗帽","3,1w","",""
"紗帽","3,bw","",""
"紗門","3,a","",""
"紗廠","3,`x","",""
"紗窗","3,7w","",""
"莎","t,","",""
"莎雞","t,,0","",""
"痧","y,","",""
"痧","`,","",""
"痧","`,x","",""
"痧","y,x","",""
"裟","e[","",""
"鯊","ef","",""
"鯊魚","ef,f","",""
"殺","xx","",""
"殺風景","x,a","",""
"殺風景","x-a","",""
"殺戮","xxni","",""
"殺害","xx7r","",""
"殺機","xxdi","",""
"殺雞儆猴","x,o,","",""
"殺雞取卵","x,9,","",""
"殺雞焉用牛刀","x,mb","",""
"殺價","xxo5","",""
"殺戒","xxit","",""
"殺戒","xxmi","",""
"殺菌","xxtw","",""
"殺氣","xx,'","",""
"殺氣","xx,d","",""
"殺青","xxjb","",""
"殺出重圍","xu,w","",""
"殺蟲劑","xly","",""
"殺手","xxq","",""
"殺身","xx,b","",""
"殺身之禍","x,yy","",""
"殺身成仁","x,`o","",""
"殺傷","xxon","",""
"殺生","xx,g","",""
"殺聲震天","xg6m","",""
"殺人不見血","xomw","",""
"殺人不眨眼","xomw","",""
"殺人滅口","xoer","",""
"殺人犯","xo,","",""
"殺人如麻","xov`","",""
"殺人罪","xow","",""
"殺死","xxm'","",""
"殺一儆百","x1o-","",""
"殺一儆百","x1om","",""
"殺一儆百","xmo-","",""
"殺一儆百","xmom","",""
"鎩","cxx","",""
"鎩羽而歸","cnm,","",""
"鎩羽而歸","cnms","",""
"煞",",f","",""
"煞住",",fog","",""
"煞車",",f2","",""
"煞尾",",fs'","",""
"啥","rrx","",""
"傻","ox","",""
"傻里傻氣","ogo,","",""
"傻里傻氣","owo,","",""
"傻瓜","ox,.","",""
"傻瓜相機","o,dd","",""
"傻勁","oxmn","",""
"傻小子","o,.","",""
"傻小子","ob.","",""
"傻事","oxjb","",""
"傻人有傻福","oojo","",""
"傻子","ox.b","",""
"歃",",o","",""
"歃",",ox","",""
"歃血為盟",",,,a","",""
"歃血為盟",",,ya","",""
"煞",",f","",""
"煞費苦心",",,tp","",""
"煞費苦心",",ntp","",""
"煞氣",",f,d","",""
"煞星",",fag","",""
"煞有介事",",joj","",""
"霎","6v","",""
"霎時","6va;","",""
"奢","ka","",""
"奢靡","ka`m","",""
"奢華","katj","",""
"奢求","kaje","",""
"奢侈","kao,","",""
"奢侈品","kor","",""
"奢望","kayg","",""
"畬","owx","",""
"賒","5y","",""
"賒貸","5yo5","",""
"賒借","5yoa","",""
"賒帳","5y1[","",""
"賒帳","5yb[","",""
"舌",",r","",""
"舌","mr","",""
"舌敝脣焦",",t`0","",""
"舌敝脣焦","mt`0","",""
"舌苔",",rtr","",""
"舌苔","mrtr","",""
"舌頭",",rm5","",""
"舌頭","mrm5","",""
"舌根",",rd[","",""
"舌根","mrd[","",""
"舌耕",",rj1","",""
"舌耕",",rjt","",""
"舌耕","mrj1","",""
"舌耕","mrjt","",""
"舌尖",",r,k","",""
"舌尖",",rbk","",""
"舌尖","mr,k","",""
"舌劍脣槍",",o`d","",""
"舌劍脣槍","mo`d","",""
"舌戰",",rri","",""
"舌戰","mrri","",""
"折","q1","",""
"佘","oy","",""
"佘","oyx","",""
"蛇","l'","",""
"蛇吞象","l,,","",""
"蛇吞象","lm,","",""
"蛇蠍","l'lo","",""
"蛇蠍美人","llto","",""
"蛇蠍心腸","llpb","",""
"蛇信","l'o4","",""
"蛇行","l',b","",""
"舍","or","",""
"舍我其誰","o,t4","",""
"捨","qr","",""
"捨本逐末","qdzj","",""
"捨本逐末","qdzm","",""
"捨不得","qm,","",""
"捨命","qro9","",""
"捨得","qr,;","",""
"捨己救人","q]jo","",""
"捨近求遠","qzjz","",""
"捨棄","qrjd","",""
"捨棄","qrmd","",""
"捨棄","qryd","",""
"捨身","qr,b","",""
"捨生取義","q,9t","",""
"捨我其誰","q,t4","",""
"社","yg","",""
"社團","ygw;","",""
"社論","yg4b","",""
"社工","ygmm","",""
"社會","ygoa","",""
"社會保險","yoo9","",""
"社會福利","yoy,","",""
"社會工作","yomo","",""
"社會科學","yo,,","",""
"社會化","yoo","",""
"社會教育","yogj","",""
"社會教育","yogy","",""
"社會教育","yoxj","",""
"社會教育","yoxy","",""
"社會救助","yoj7","",""
"社會救助","yojb","",""
"社會心理","yopm","",""
"社會學","yo,","",""
"社會主義","yoyt","",""
"社稷","yg,x","",""
"社交","ygyx","",""
"社交舞","yy,","",""
"社教","uggx","",""
"社區","yg[r","",""
"社區服務","y[b.","",""
"社區意識","y[y4","",""
"舍","or","",""
"舍利","or,b","",""
"舍監","or[m","",""
"舍下","ormy","",""
"拾","j6","",""
"拾","j7","",""
"拾","qr","",""
"拾級而上","q3my","",""
"涉","e,","",""
"涉獵","e,,'","",""
"涉及","e,.x","",""
"涉嫌","e,v.","",""
"涉嫌","e,vy","",""
"涉世","e,'t","",""
"涉世","e,m'","",""
"涉世","e,t'","",""
"涉足","e,ro","",""
"涉案","e,7d","",""
"射",",;","",""
"射門",",;a","",""
"射擊",",;2q","",""
"射箭",",;hb","",""
"射程",",;,g","",""
"射手",",;q","",""
"射殺",",;xx","",""
"麝","`;","",""
"麝香","`;,a","",""
"設","4x","",""
"設備","4xob","",""
"設法","4xe/","",""
"設防","4x9n","",""
"設定","4x7o","",""
"設立","4xyt","",""
"設籍","4xha","",""
"設計","4x4j","",""
"設計師","44,","",""
"設計師","44s","",""
"設局","4xsn","",""
"設限","4x9[","",""
"設想","4xdp","",""
"設置","4xwm","",""
"設廠","4x`x","",""
"設施","4xy'","",""
"設身處地","4,yg","",""
"設問","4xar","",""
"赦","gx","",""
"赦免","gx,'","",""
"赦免","gx,-","",""
"赦罪","gxwm","",""
"葉","td","",""
"葉縣","tdwh","",""
"葉縣","td'3","",""
"葉縣","td13","",""
"葉縣","td73","",""
"葉縣","tdw3","",""
"攝","q9","",""
"攝護腺","q4b","",""
"攝護腺","qtb","",""
"攝取","q99x","",""
"攝製","q9,[","",""
"攝政","q9mx","",""
"攝氏","q9,i","",""
"攝影","q9a,","",""
"攝影棚","qad","",""
"攝影機","qad","",""
"攝影師","qa,","",""
"攝影師","qas","",""
"篩","h1","",""
"篩檢","h1do","",""
"篩選","h1z8","",""
"色",",'","",""
"色子",",'.b","",""
"晒","aw","",""
"晒黑","awwf","",""
"殺","xx","",""
"誰","40","",""
"捎","qb","",""
"捎來","qbdo","",""
"捎來","qbjd","",""
"捎來","qbm.","",""
"梢","db","",""
"稍",",b","",""
"稍後",",b,x","",""
"稍候",",bok","",""
"稍息",",b,p","",""
"稍占上風",",yy,","",""
"稍占上風",",yy-","",""
"稍事",",bjb","",""
"稍稍",",b,b","",""
"稍縱即逝",",3az","",""
"稍縱即逝",",3]z","",""
"稍微",",b,x","",""
"筲","hb","",""
"筲","hbx","",""
"燒","f-","",""
"燒杯","f-dy","",""
"燒餅","f-ot","",""
"燒瓶","f-t'","",""
"燒賣","f-g5","",""
"燒飯","f-ox","",""
"燒烤","f-fn","",""
"燒火","f-f","",""
"燒毀","f-,x","",""
"燒毀","f-[x","",""
"燒焦","f-0f","",""
"燒酒","f-ew","",""
"燒香","f-,a","",""
"燒灼","f-fn","",""
"燒傷","f-on","",""
"燒水","f-e","",""
"燒王船","fm,","",""
"勺",",n","",""
"勺子",",n.b","",""
"杓","dn","",""
"芍","tn","",""
"芍藥","tntd","",""
"芍藥花","ttt","",""
"韶","yr","",""
"韶光","yrt-","",""
"韶華","yrtj","",""
"少",",,","",""
"少","b,","",""
"少來",",,do","",""
"少來",",,jd","",""
"少來",",,m.","",""
"少來","b,do","",""
"少來","b,jd","",""
"少來","b,m.","",""
"少量",",,ag","",""
"少量","b,ag","",""
"少見",",,w-","",""
"少見","b,w-","",""
"少見多怪",",w,p","",""
"少見多怪","bw,p","",""
"少許",",,4j","",""
"少許","b,4j","",""
"少數",",,1x","",""
"少數",",,wx","",""
"少數","b,1x","",""
"少數","b,wx","",""
"少",",,","",""
"少","b,","",""
"少不更事",",mmj","",""
"少不更事",",mmm","",""
"少不更事","bmmj","",""
"少不更事","bmmm","",""
"少婦",",,v1","",""
"少婦","b,v1","",""
"少奶奶",",vv","",""
"少奶奶","bvv","",""
"少年",",,,j","",""
"少年","b,,j","",""
"少年法庭",",,e`","",""
"少年法庭","b,e`","",""
"少年老成",",,g`","",""
"少年老成","b,g`","",""
"少女",",,v","",""
"少女","b,v","",""
"少女情懷",",vpp","",""
"少女情懷","bvpp","",""
"少林拳",",dt","",""
"少林拳","bdt","",""
"少小",",,,y","",""
"少小","b,by","",""
"少壯",",,'g","",""
"少壯",",,1g","",""
"少壯","b,'g","",""
"少壯","b,1g","",""
"少時",",,a;","",""
"少時","b,a;","",""
"少爺",",,89","",""
"少爺","b,89","",""
"召","nr","",""
"劭","nn","",""
"劭","nnx","",""
"邵","n9","",""
"紹","3r","",""
"捎","qb","",""
"哨","rb","",""
"哨兵","rb,8","",""
"哨子","rb.b","",""
"哨音","rbya","",""
"收","'x","",""
"收","1x","",""
"收編","'x3b","",""
"收編","1x3b","",""
"收盤","'x,m","",""
"收盤","1x,m","",""
"收買","'xw5","",""
"收買","1xw5","",""
"收發","'x.x","",""
"收發","1x.x","",""
"收費","'x,5","",""
"收費","'xn5","",""
"收費","1x,5","",""
"收費","1xn5","",""
"收放自如","'y,v","",""
"收服","'xbx","",""
"收服","1xbx","",""
"收復","'x,x","",""
"收復","1x,x","",""
"收條","'xod","",""
"收條","'xok","",""
"收條","1xod","",""
"收聽","'x9p","",""
"收聽","1x9p","",""
"收納","'x3b","",""
"收納","1x3b","",""
"收攬人心","'qop","",""
"收攬人心","1qop","",""
"收留","'x,w","",""
"收留","'x[w","",""
"收留","1x,w","",""
"收留","1x[w","",""
"收殮","'xmo","",""
"收殮","1xmo","",""
"收斂","'xox","",""
"收斂","1xox","",""
"收錄","'xce","",""
"收錄","1xce","",""
"收錄音機","'cyd","",""
"收錄音機","1cyd","",""
"收割","'x7b","",""
"收割","1x7b","",""
"收購","'x5b","",""
"收購","1x5b","",""
"收歸國有","',wj","",""
"收歸國有","'swj","",""
"收歸國有","1,wj","",""
"收歸國有","1swj","",""
"收工","'xmm","",""
"收工","1xmm","",""
"收看","'x,w","",""
"收看","1x,w","",""
"收款","'xgo","",""
"收款","1xgo","",""
"收穫","'x,x","",""
"收穫","'xtx","",""
"收穫","1x,x","",""
"收穫","1xtx","",""
"收回","'xwr","",""
"收回","1xwr","",""
"收賄","'x5b","",""
"收賄","1x5b","",""
"收集","'x0d","",""
"收集","1x0d","",""
"收件人","'oo","",""
"收件人","1oo","",""
"收驚","'xtn","",""
"收驚","1xtn","",""
"收據","'xq.","",""
"收據","1xq.","",""
"收訖","'x4'","",""
"收訖","1x4'","",""
"收取","'x9x","",""
"收取","1x9x","",""
"收效","'xyx","",""
"收效","1xyx","",""
"收心","'xp","",""
"收心","1xp","",""
"收支","'xjx","",""
"收支","1xjx","",""
"收支平衡","'jm,","",""
"收支平衡","1jm,","",""
"收帳","'x1[","",""
"收帳","'xb[","",""
"收帳","1x1[","",""
"收帳","1xb[","",""
"收場","'xgn","",""
"收場","1xgn","",""
"收成","'x`i","",""
"收成","1x`i","",""
"收拾","'xqr","",""
"收拾","1xqr","",""
"收視","'xy-","",""
"收視","1xy-","",""
"收視率","'yy","",""
"收視率","1yy","",""
"收手","'xqq","",""
"收手","1xqq","",""
"收受","'x,x","",""
"收受","1x,x","",""
"收入","'xo","",""
"收入","1xo","",""
"收容","'x7r","",""
"收容","1x7r","",""
"收容所","'7s","",""
"收容所","17s","",""
"收租","'x,m","",""
"收租","1x,m","",""
"收藏","'xti","",""
"收藏","1xti","",""
"收藏家","'t7","",""
"收藏家","'`7","",""
"收藏家","1t7","",""
"收縮","'x3a","",""
"收縮","1x3a","",""
"收益","'xtm","",""
"收益","1xtm","",""
"收押","'xq1","",""
"收押","1xq1","",""
"收音機","'yd","",""
"收音機","1yd","",""
"收銀機","'cd","",""
"收銀機","1cd","",""
"收養","'xt[","",""
"收養","1xt[","",""
"收尾","'xs'","",""
"收尾","1xs'","",""
"熟","yf","",""
"熟讀","yf45","",""
"熟鐵","yfci","",""
"熟能生巧","y/,m","",""
"熟練","yf3d","",""
"熟慮","yfyp","",""
"熟慮","yf`p","",""
"熟客","yf7r","",""
"熟記","yf4'","",""
"熟悉","yf,p","",""
"熟習","yfna","",""
"熟知","yf,r","",""
"熟食","yfo[","",""
"熟識","yf4i","",""
"熟手","yfq","",""
"熟睡","yfwg","",""
"熟人","yfo","",""
"熟稔","yf,p","",""
"熟諳","yf4a","",""
"熟語","yf4r","",""
"手","q","",""
"手把","qq'","",""
"手背","q1b","",""
"手背","qmb","",""
"手筆","qhj","",""
"手臂","qsb","",""
"手錶","qc[","",""
"手不釋卷","qm,t","",""
"手帕","q1a","",""
"手帕","qba","",""
"手忙腳亂","qpb,","",""
"手法","qe/","",""
"手風","q-l","",""
"手風琴","q-m","",""
"手袋","qqo[","",""
"手到擒來","qmqd","",""
"手到擒來","qmqj","",""
"手到擒來","qmqm","",""
"手電筒","q6h","",""
"手段","q,x","",""
"手套","qk/","",""
"手頭","qm5","",""
"手提包","qq,","",""
"手提袋","qqo","",""
"手提式","qqi","",""
"手提式","qqm","",""
"手推車","qq2","",""
"手泐","qqex","",""
"手稿","q,b","",""
"手工","qmm","",""
"手工藝","qmt","",""
"手工藝品","qmtr","",""
"手工業","qmt","",""
"手銬","qcn","",""
"手腳","qb9","",""
"手巾","q11","",""
"手巾","q1b","",""
"手巾","qb1","",""
"手卷","qt'","",""
"手卷","qt'","",""
"手絹","q3b","",""
"手氣","q,'","",""
"手氣","q,d","",""
"手球","qme","",""
"手槍","qdr","",""
"手下","qmy","",""
"手下留情","qm,p","",""
"手下留情","qm[p","",""
"手心","qp","",""
"手相","qdw","",""
"手續","q35","",""
"手指","qqa","",""
"手札","qd'","",""
"手肘","qb;","",""
"手掌","qtq","",""
"手杖","qdx","",""
"手鐲","qcn","",""
"手抄","qq,","",""
"手勢","qgn","",""
"手書","q1a","",""
"手書","q]a","",""
"手術","q,b","",""
"手足","qro","",""
"手足胼胝","qrbb","",""
"手足情深","qrpe","",""
"手冊","qbb","",""
"手冊","qbm","",""
"手冊","qbt","",""
"手藝","qt/","",""
"手印","q,9","",""
"手印","q[9","",""
"手無寸鐵","q,;c","",""
"手舞足蹈","q,rr","",""
"手腕","qb'","",""
"手紋","q3x","",""
"手語","q4r","",""
"手語歌","q4m","",""
"手諭","q4b","",""
"守","7;","",""
"守備","7;ob","",""
"守備率","7oy","",""
"守門員","7ar","",""
"守密","7;7u","",""
"守法","7;e/","",""
"守分","7;8n","",""
"守靈","7;6m","",""
"守寡","7;7n","",""
"守宮","7;7r","",""
"守口如瓶","7rvt","",""
"守候","7;ok","",""
"守護","7;4x","",""
"守護","7;tx","",""
"守護神","74y","",""
"守護神","7ty","",""
"守節","7;h9","",""
"守舊","7;tm","",""
"守舊","7;t]","",""
"守孝","7;gb","",""
"守信","7;o4","",""
"守制","7;,b","",""
"守正不阿","7mm9","",""
"守株待兔","7d,,","",""
"守成","7;`i","",""
"守時","7;a;","",""
"守勢","7;gn","",""
"守身如玉","7,vm","",""
"守則","7;5b","",""
"守財奴","75v","",""
"守喪","7;j[","",""
"守歲","7;1i","",""
"守衛","7;,b","",""
"守望","7;yg","",""
"守望相助","7yd7","",""
"守望相助","7ydb","",""
"首","tw","",""
"首謀","tw4d","",""
"首府","tw`;","",""
"首富","tw7w","",""
"首當其衝","ttt,","",""
"首都","twg9","",""
"首度","tw`x","",""
"首腦","twbw","",""
"首領","two5","",""
"首輪","tw2b","",""
"首輪片","t2,","",""
"首輪片","t21","",""
"首功","twmn","",""
"首開紀錄","ta3c","",""
"首肯","tw1b","",""
"首航","tw,-","",""
"首級","tw3x","",""
"首屈一指","tsmq","",""
"首席","tw`1","",""
"首先","tw,-","",""
"首相","twdw","",""
"首長","twm[","",""
"首創","twob","",""
"首飾","two1","",""
"首善","twtr","",""
"首善之區","tty[","",""
"首座","tw`g","",""
"首惡","twmp","",""
"首頁","twm5","",""
"首要","twmv","",""
"首映典禮","ta1y","",""
"首映典禮","tawy","",""
"首尾","tws'","",""
"受",",x","",""
"受不了",",m.","",""
"受騙",",xmb","",""
"受命",",xo9","",""
"受罰",",xwb","",""
"受訪",",x4n","",""
"受封",",xg;","",""
"受託",",x4'","",""
"受難",",xt0","",""
"受虐",",xym","",""
"受虐",",xy[","",""
"受累",",xw3","",""
"受冷落",",yt","",""
"受理",",xmg","",""
"受僱",",xo0","",""
